Monitoring Location,State,pH,Temperature,Turbidity
NAUPADA SWAMPS,Andhra Pradesh,7.2,27.0,3.009289196
"DALONI BEEL NEAR JOGIGHOPA, ASSAM",Assam,7.0,30.0,4.599573327
"SIKANDRAPUR, MUZAFFARPUR",Bihar,7.6,22.0,4.914883756
"HITKASA TAILING DAM, RAJHARA, CHHATISGARH.(DALLI RAJHARA IRON
ORE MINES, DALLI RAJHARA)",Chhattisgarh,7.1,28.0,4.764193594
"SALAULIM LAKE AT SALAULIM -
SANGUEM, GOA",Goa,6.7,30.25,2.678910713
NARSIMEHTA TALAV- JUNAGADH,Gujarat,7.2,26.0,2.460464867
"HOLY POND OF SHIV GANGA JARMUNDI,
DUMKA",Jharkhand,7.6,24.0,4.575578405
KUNDALAHALLI LAKE,Karnataka,6.8,25.0,4.267952934
"PARAVUR, KERALA",Kerala,6.2,21.5,3.223080865
UPPER LAKE AT BAIRAGARH CLUB,Madhya Pradesh,7.4,25.5,3.407349428
HIRANMEI PUKHURI AT THOUBAL,Manipur,7.0,24.0,4.713192605
WARD'S LAKE AT SHILLONG,Meghalaya,7.0,20.0,3.81878876
"PHE RESERVOIR, HELIPAD, NEW SAIHA",Mizoram,6.7,19.5,4.306581068
"BANGLA FISHERY, DIMAPUR",Nagaland,6.5,26.65,4.572923004
ANSHUPA LAKE KADALIBARI,Odisha,6.9,26.0,2.799883321
"HARIKE LAKE AT HARIKE VILLAGE,
PUNJAB",Punjab,7.6,22.0,4.258488737
"JAISAMAND LAKE, ALWAR, RAJASTHAN",Rajasthan,7.2,29.0,3.227940799
"OVER HEAD TANK AT TIRUR VILLAGE, TIRUVALLUR TALUK, TIRUVALLUR
PANCHAYAT UN",Tamil Nadu,6.8,32.0,2.998335472
"TIRUMALAGIRI TANK, TIRUMALAGIRI, HYDERABAD",Telangana,7.1,33.5,3.991564248
RUDRASAGAR WEST LAKE TRIPURA,Tripura,7.0,23.5,2.674040012
"MAAHIL POND, URAI TEHSIL, JALAUN",Uttar Pradesh,7.5,20.6,3.425065096
BHEEMTAL LAKE,Uttarakhand,7.2,17.0,5.600458571
"HATISHALA GHAT ON DUDHPUKUR AT
TARAKESHWAR, HOOGHLY",West Bengal,7.5,28.25,4.068688909
PARASHALI BEEL AT DEMORIA,Assam,7.0,25.0,3.819985377
ANEKAL DODDAKERE TANK,Karnataka,6.6,25.0,4.494544339
"SIKANDRAPUR, MUZAFFARPUR",Bihar,7.6,22.0,3.030823583
"DHAMBUR LAKE, DHALAI",Tripura,7.0,23.25,3.732170265
NEKNAMPUR LAKE,Telangana,7.2,30.5,3.344284854
POND AT LALAMBUNG,Manipur,6.8,23.5,3.710053126
MADAVARA TANK,Karnataka,6.2,25.0,4.616641008
GUBBALAL KERE,Karnataka,6.5,25.0,4.978820188
KONDAGGIKERE TANK,Karnataka,7.6,27.0,4.315898406
DYAVASANDRA TANK,Karnataka,6.3,25.0,3.80879301
"CHINNA BANDAM, SURARAM, QUTUBULLAPUR, MEDCHAL  MALKAGIRI",Telangana,7.0,28.0,4.54810035
DODDAKERE TANK,Karnataka,6.5,25.5,4.486402627
"LINGAM CHERUVU, SURARAM (V),
QUTHUBULLAPUR",Telangana,7.1,28.0,3.460998376
UMIAM LAKE AT MIDDLE POINT,Meghalaya,7.1,19.0,4.47201817
"KISTAIPALLY TANK, KAZIPET,
WARANGAL",Telangana,7.2,29.5,3.533243425
