monitoringLocation,state,pH,temperature,turbidity
NAUPADA SWAMPS,ANDHRA PRADESH,7.2,27.0,3.009289196
DALONI BEEL NEAR JOGIGHOPA ASSAM,ASSAM,7.0,30.0,4.599573327
SIKANDRAPUR MUZAFFARPUR,BIHAR,7.6,22.0,4.914883756
SUKHNA LAKE CHANDIGARH,CHANDIGARH,6.9,25.0,3.266028669
"HITKASA TAILING DAM RAJHARA CHHATISGARH.(DALLI RAJHARA IRON
ORE MINES DALLI RAJHARA)",CHHATTISGARH,7.1,28.0,4.764193594
BHALSWA LAKE DELHI,DELHI,7.6,32.0,4.871406193
"SALAULIM LAKE AT SALAULIM 
SANGUEM GOA",GOA,6.7,30.25,2.678910713
NARSIMEHTA TALAV JUNAGADH,GUJARAT,7.2,26.0,2.460464867
SANHIT SAROVAR KURUSHETRA,HARYANA,7.0,,4.522599229
PONGDAM LAKE AT PONG VILLAGE,"HIMACHAL
PRADESH",7.1,19.5,3.707413724
ANCHAR LAKE NEAR LKIMS,"JAMMU &
KASHMIR",7.1,17.35,4.534681098
ANCHAR LAKE AT JENAB SAHAB SOURA,JAMMU & KASHMIR,7.2,17.3,4.497730796
"HOLY POND OF SHIV GANGA JARMUNDI
DUMKA",JHARKHAND,7.6,24.0,4.575578405
KUNDALAHALLI LAKE,KARNATAKA,6.8,25.0,4.267952934
PARAVUR KERALA,KERALA,6.2,21.5,3.223080865
POND C/O MOHIDHEEN PALLI,LAKSHADWEEP,7.1,29.6,3.870338847
POND WATER AT LAKODA,"MADHYA
PRADESH",7.2,18.2,3.415851385
UPPER LAKE AT BAIRAGARH CLUB,MADHYA PRADESH,7.4,25.5,3.407349428
HIRANMEI PUKHURI AT THOUBAL,MANIPUR,7.0,24.0,4.713192605
WARD'S LAKE AT SHILLONG,MEGHALAYA,7.0,20.0,3.81878876
PHE RESERVOIR HELIPAD NEW SAIHA,MIZORAM,6.7,19.5,4.306581068
BANGLA FISHERY DIMAPUR,NAGALAND,6.5,26.65,4.572923004
ANSHUPA LAKE KADALIBARI,ODISHA,6.9,26.0,2.799883321
BAHOUR LAKE,PUDUCHERRY,7.1,30.5,3.924967064
"HARIKE LAKE AT HARIKE VILLAGE
PUNJAB",PUNJAB,7.6,22.0,4.258488737
JAISAMAND LAKE ALWAR RAJASTHAN,RAJASTHAN,7.2,29.0,3.227940799
"OVER HEAD TANK AT TIRUR VILLAGE TIRUVALLUR TALUK TIRUVALLUR
PANCHAYAT UN",TAMIL NADU,6.8,32.0,2.998335472
TIRUMALAGIRI TANK TIRUMALAGIRI HYDERABAD,TELANGANA,7.1,33.5,3.991564248
RUDRASAGAR WEST LAKE TRIPURA,TRIPURA,7.0,23.5,2.674040012
MAAHIL POND URAI TEHSIL JALAUN,UTTAR PRADESH,7.5,20.6,3.425065096
BHEEMTAL LAKE,UTTARAKHAND,7.2,17.0,5.600458571
"HATISHALA GHAT ON DUDHPUKUR AT
TARAKESHWAR HOOGHLY",WEST BENGAL,7.5,28.25,4.068688909
PARASHALI BEEL AT DEMORIA,ASSAM,7.0,25.0,3.819985377
ANEKAL DODDAKERE TANK,KARNATAKA,6.6,25.0,4.494544339
SIKANDRAPUR MUZAFFARPUR,BIHAR,7.6,22.0,3.030823583
WULAR LAKE AT SADERKOTE,"JAMMU &
KASHMIR",7.3,18.2,5.229809193
DAL LAKE AT NAYADYAR,"JAMMU &
KASHMIR",7.1,20.75,4.383921814
